,Zip_Code,City,Income,Year,ED_Visits,Asthma Age Adj Rate,County,Daily Max 8hr Ozone,Daily AQI Ozone,Daily Mean PM2.5,DAILY_AQI_VALUE
54,91910,Chula Vista,18033.86686,2016,308,40.0,San Diego,0.03970752089136487,37.17270194986072,8.696581196581198,35.487179487179496
55,91910,Chula Vista,18033.86686,2015,428,57.2,San Diego,0.03995689655172414,37.362068965517246,8.345614035087719,34.017543859649116
56,92020,El Cajon,40100.02692,2018,251,40.9,San Diego,0.04660465116279069,45.25,9.949271137026226,39.644314868804656
57,92020,El Cajon,40100.02692,2017,235,38.8,San Diego,0.04729512893982805,47.994269340974206,10.405491329479773,41.43352601156069
58,92020,El Cajon,40100.02692,2016,217,35.9,San Diego,0.04524161073825502,43.812080536912745,12.110738255033562,47.22818791946309
59,92113,San Diego,19401.89516,2016,474,85.4,San Diego,0.03850853242320817,35.88054607508533,10.079720279720279,40.57342657342657
60,92113,San Diego,19401.89516,2015,531,99.8,San Diego,0.03934916201117317,36.82122905027933,9.684357541899427,38.71508379888268
61,92124,San Diego,19401.89516,2018,70,23.5,San Diego,0.04391853932584268,41.69101123595506,8.302941176470588,33.48739495798319
62,92124,San Diego,19401.89516,2017,81,25.3,San Diego,0.045263768115942016,44.64927536231884,8.121610169491529,33.21610169491525
63,92124,San Diego,19401.89516,2016,61,19.0,San Diego,0.04367159763313608,41.973372781065095,7.635294117647059,31.66806722689076
64,92124,San Diego,19401.89516,2015,65,28.4,San Diego,0.04314540059347178,41.18991097922849,7.191071428571428,29.361607142857146
65,92201,Indio,53669.0,2018,258,39.1,Riverside,0.053846153846153835,61.846153846153854,8.159829059829056,33.358974358974365
66,92201,Indio,53669.0,2017,325,47.5,Riverside,0.05470441988950278,63.196132596685075,8.028440366972484,33.11009174311926
67,92201,Indio,53669.0,2016,278,41.9,Riverside,0.05124223602484474,56.329192546583855,7.5168316831683155,30.89108910891089
68,92201,Indio,53669.0,2015,344,53.7,Riverside,0.04527697841726619,46.744604316546756,7.305813953488374,29.90697674418605
69,92220,Banning,31574.14815,2018,193,68.2,Riverside,0.05667613636363637,68.75,10.905604719764002,42.02654867256636
