,Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
85,2018,90504,22,36.4,0-17,Los Angeles
86,2018,90505,25,37.0,0-17,Los Angeles
87,2018,90601,51,68.1,0-17,Los Angeles
88,2018,90602,45,66.1,0-17,Los Angeles
89,2018,90603,29,66.5,0-17,Los Angeles
90,2018,90604,45,45.9,0-17,Los Angeles
91,2018,90605,100,94.7,0-17,Los Angeles
92,2018,90606,62,76.0,0-17,Los Angeles
93,2018,90620,57,57.1,0-17,Orange
94,2018,90621,56,58.4,0-17,Orange
95,2018,90623,21,74.5,0-17,Orange
96,2018,90630,32,33.8,0-17,Orange
97,2018,90631,95,55.9,0-17,Orange
98,2018,90638,32,34.1,0-17,Los Angeles
99,2018,90640,106,67.9,0-17,Los Angeles
100,2018,90650,159,58.6,0-17,Los Angeles
101,2018,90660,109,69.3,0-17,Los Angeles
102,2018,90670,20,56.7,0-17,Los Angeles
103,2018,90680,49,60.3,0-17,Orange
104,2018,90701,20,59.7,0-17,Los Angeles
105,2018,90703,39,48.6,0-17,Los Angeles
106,2018,90706,156,76.0,0-17,Los Angeles
107,2018,90710,56,93.4,0-17,Los Angeles
108,2018,90712,26,37.4,0-17,Los Angeles
109,2018,90713,22,36.3,0-17,Los Angeles
110,2018,90715,36,76.3,0-17,Los Angeles
111,2018,90716,22,50.2,0-17,Los Angeles
112,2018,90717,36,79.0,0-17,Los Angeles
113,2018,90720,20,48.0,0-17,Orange
114,2018,90723,116,70.8,0-17,Los Angeles
115,2018,90731,141,96.5,0-17,Los Angeles
116,2018,90732,26,63.6,0-17,Los Angeles
117,2018,90744,153,90.6,0-17,Los Angeles
118,2018,90745,88,68.4,0-17,Los Angeles
119,2018,90746,59,122.2,0-17,Los Angeles
120,2018,90755,30,106.8,0-17,Los Angeles
121,2018,90802,43,61.1,0-17,Los Angeles
122,2018,90803,14,34.3,0-17,Los Angeles
123,2018,90804,80,84.5,0-17,Los Angeles
124,2018,90805,310,110.7,0-17,Los Angeles
125,2018,90806,119,98.9,0-17,Los Angeles
126,2018,90807,35,54.7,0-17,Los Angeles
127,2018,90808,34,44.7,0-17,Los Angeles
128,2018,90810,79,76.9,0-17,Los Angeles
129,2018,90813,169,91.3,0-17,Los Angeles
130,2018,90814,25,85.1,0-17,Los Angeles
131,2018,90815,22,29.1,0-17,Los Angeles
132,2018,91001,44,55.9,0-17,Los Angeles
133,2018,91006,23,35.5,0-17,Los Angeles
134,2018,91007,18,30.0,0-17,Los Angeles
135,2018,91010,33,56.5,0-17,Los Angeles
136,2018,91011,15,37.6,0-17,Los Angeles
137,2018,91016,38,41.7,0-17,Los Angeles
138,2018,91030,26,53.4,0-17,Los Angeles
139,2018,91040,16,43.0,0-17,Los Angeles
140,2018,91042,28,52.1,0-17,Los Angeles
141,2018,91101,12,41.5,0-17,Los Angeles
142,2018,91103,40,56.5,0-17,Los Angeles
143,2018,91104,37,46.3,0-17,Los Angeles
144,2018,91106,31,79.6,0-17,Los Angeles
145,2018,91107,24,36.7,0-17,Los Angeles
146,2018,91201,18,46.9,0-17,Los Angeles
147,2018,91202,14,34.7,0-17,Los Angeles
148,2018,91203,15,46.4,0-17,Los Angeles
149,2018,91204,21,61.5,0-17,Los Angeles
150,2018,91205,24,37.1,0-17,Los Angeles
151,2018,91206,29,52.5,0-17,Los Angeles
152,2018,91214,28,53.0,0-17,Los Angeles
153,2018,91302,14,25.2,0-17,Los Angeles
154,2018,91303,65,93.3,0-17,Los Angeles
155,2018,91304,96,84.1,0-17,Los Angeles
156,2018,91306,113,105.6,0-17,Los Angeles
157,2018,91307,27,57.5,0-17,Los Angeles
158,2018,91311,46,68.1,0-17,Los Angeles
159,2018,91316,28,54.1,0-17,Los Angeles
160,2018,91320,23,22.3,0-17,Ventura
161,2018,91321,49,56.6,0-17,Los Angeles
162,2018,91324,35,61.5,0-17,Los Angeles
163,2018,91325,50,79.1,0-17,Los Angeles
164,2018,91326,19,30.3,0-17,Los Angeles
165,2018,91331,203,65.7,0-17,Los Angeles
166,2018,91335,202,118.0,0-17,Los Angeles
167,2018,91340,80,74.9,0-17,Los Angeles
168,2018,91342,175,70.2,0-17,Los Angeles
169,2018,91343,171,101.9,0-17,Los Angeles
170,2018,91344,58,59.3,0-17,Los Angeles
171,2018,91345,31,72.7,0-17,Los Angeles
172,2018,91350,37,39.8,0-17,Los Angeles
173,2018,91351,38,47.6,0-17,Los Angeles
174,2018,91352,108,84.2,0-17,Los Angeles
175,2018,91354,22,27.1,0-17,Los Angeles
176,2018,91355,14,19.2,0-17,Los Angeles
177,2018,91356,27,46.8,0-17,Los Angeles
178,2018,91360,33,39.8,0-17,Ventura
179,2018,91362,18,24.7,0-17,Ventura
180,2018,91364,16,31.1,0-17,Los Angeles
181,2018,91367,26,33.3,0-17,Los Angeles
182,2018,91384,18,30.3,0-17,Los Angeles
183,2018,91387,59,51.6,0-17,Los Angeles
184,2018,91401,56,63.1,0-17,Los Angeles
185,2018,91402,205,102.0,0-17,Los Angeles
186,2018,91403,12,30.7,0-17,Los Angeles
187,2018,91405,108,85.2,0-17,Los Angeles
188,2018,91406,91,69.4,0-17,Los Angeles
189,2018,91411,47,82.2,0-17,Los Angeles
190,2018,91423,20,40.4,0-17,Los Angeles
191,2018,91501,13,34.7,0-17,Los Angeles
192,2018,91504,16,31.3,0-17,Los Angeles
193,2018,91505,18,33.5,0-17,Los Angeles
194,2018,91506,17,50.8,0-17,Los Angeles
195,2018,91601,53,80.6,0-17,Los Angeles
196,2018,91604,14,28.3,0-17,Los Angeles
197,2018,91605,132,92.6,0-17,Los Angeles
198,2018,91606,78,75.8,0-17,Los Angeles
199,2018,91607,32,59.5,0-17,Los Angeles
200,2018,91701,15,19.7,0-17,San Bernardino
201,2018,91702,192,116.6,0-17,Los Angeles
202,2018,91706,190,88.0,0-17,Los Angeles
203,2018,91708,12,35.8,0-17,San Bernardino
204,2018,91709,60,33.6,0-17,San Bernardino
205,2018,91710,119,58.8,0-17,San Bernardino
206,2018,91711,17,29.2,0-17,Los Angeles
207,2018,91722,73,83.0,0-17,Los Angeles
208,2018,91723,45,101.3,0-17,Los Angeles
209,2018,91724,40,73.6,0-17,Los Angeles
210,2018,91730,77,46.6,0-17,San Bernardino
211,2018,91731,76,97.6,0-17,Los Angeles
212,2018,91732,179,105.3,0-17,Los Angeles
213,2018,91733,110,85.0,0-17,Los Angeles
214,2018,91737,15,29.9,0-17,San Bernardino
215,2018,91739,28,26.4,0-17,San Bernardino
216,2018,91740,56,99.8,0-17,Los Angeles
217,2018,91741,27,52.1,0-17,Los Angeles
218,2018,91744,215,94.5,0-17,Los Angeles
219,2018,91745,77,75.0,0-17,Los Angeles
220,2018,91746,54,63.2,0-17,Los Angeles
221,2018,91748,29,36.2,0-17,Los Angeles
222,2018,91750,36,57.0,0-17,Los Angeles
223,2018,91752,38,36.2,0-17,Riverside
224,2018,91754,29,46.6,0-17,Los Angeles
225,2018,91755,22,49.7,0-17,Los Angeles
226,2018,91761,82,50.2,0-17,San Bernardino
227,2018,91762,98,60.8,0-17,San Bernardino
228,2018,91763,71,64.9,0-17,San Bernardino
229,2018,91764,90,54.2,0-17,San Bernardino
230,2018,91765,35,42.0,0-17,Los Angeles
231,2018,91766,148,69.9,0-17,Los Angeles
232,2018,91767,116,85.4,0-17,Los Angeles
233,2018,91768,96,108.6,0-17,Los Angeles
234,2018,91770,71,55.1,0-17,Los Angeles
235,2018,91773,57,91.9,0-17,Los Angeles
236,2018,91775,28,54.6,0-17,Los Angeles
237,2018,91776,41,57.5,0-17,Los Angeles
238,2018,91780,33,54.3,0-17,Los Angeles
239,2018,91784,20,37.2,0-17,San Bernardino
240,2018,91786,73,59.2,0-17,San Bernardino
241,2018,91789,23,35.1,0-17,Los Angeles
242,2018,91790,79,70.4,0-17,Los Angeles
243,2018,91791,46,63.4,0-17,Los Angeles
244,2018,91792,34,52.7,0-17,Los Angeles
245,2018,91801,60,61.4,0-17,Los Angeles
246,2018,91803,33,57.0,0-17,Los Angeles
247,2018,91901,12,34.6,0-17,San Diego
248,2018,91902,18,54.4,0-17,San Diego
249,2018,91910,140,77.3,0-17,San Diego
250,2018,91911,156,71.8,0-17,San Diego
251,2018,91913,62,42.6,0-17,San Diego
252,2018,91914,17,34.0,0-17,San Diego
253,2018,91915,30,32.6,0-17,San Diego
254,2018,91932,57,85.7,0-17,San Diego
255,2018,91941,26,36.6,0-17,San Diego
256,2018,91942,34,44.6,0-17,San Diego
257,2018,91945,63,95.6,0-17,San Diego
258,2018,91950,154,100.6,0-17,San Diego
259,2018,91977,115,74.5,0-17,San Diego
260,2018,92009,15,13.8,0-17,San Diego
261,2018,92010,15,41.5,0-17,San Diego
262,2018,92019,49,54.0,0-17,San Diego
263,2018,92020,83,54.5,0-17,San Diego
264,2018,92021,101,62.5,0-17,San Diego
265,2018,92024,25,24.0,0-17,San Diego
266,2018,92025,45,31.2,0-17,San Diego
267,2018,92026,35,27.4,0-17,San Diego
268,2018,92027,46,30.3,0-17,San Diego
269,2018,92028,31,28.5,0-17,San Diego
270,2018,92037,13,21.1,0-17,San Diego
271,2018,92040,42,42.9,0-17,San Diego
272,2018,92054,37,34.4,0-17,San Diego
273,2018,92056,40,35.8,0-17,San Diego
274,2018,92057,43,29.2,0-17,San Diego
275,2018,92058,32,43.6,0-17,San Diego
276,2018,92064,44,41.9,0-17,San Diego
277,2018,92065,24,29.4,0-17,San Diego
278,2018,92069,39,27.8,0-17,San Diego
279,2018,92071,47,38.1,0-17,San Diego
280,2018,92078,30,25.2,0-17,San Diego
281,2018,92081,13,21.8,0-17,San Diego
282,2018,92082,15,32.3,0-17,San Diego
283,2018,92083,51,44.0,0-17,San Diego
284,2018,92084,45,35.0,0-17,San Diego
285,2018,92101,23,74.8,0-17,San Diego
286,2018,92102,102,86.2,0-17,San Diego
287,2018,92103,12,39.3,0-17,San Diego
288,2018,92104,42,49.6,0-17,San Diego
289,2018,92105,174,80.9,0-17,San Diego
290,2018,92107,13,37.1,0-17,San Diego
291,2018,92108,14,48.9,0-17,San Diego
292,2018,92109,20,46.2,0-17,San Diego
293,2018,92110,28,71.9,0-17,San Diego
294,2018,92111,90,87.2,0-17,San Diego
295,2018,92113,179,109.5,0-17,San Diego
296,2018,92114,166,101.4,0-17,San Diego
297,2018,92115,115,95.5,0-17,San Diego
298,2018,92116,35,69.7,0-17,San Diego
299,2018,92117,42,46.4,0-17,San Diego
300,2018,92119,14,33.3,0-17,San Diego
301,2018,92120,28,55.5,0-17,San Diego
302,2018,92122,17,30.7,0-17,San Diego
303,2018,92123,49,72.4,0-17,San Diego
304,2018,92124,28,31.9,0-17,San Diego
305,2018,92126,64,39.6,0-17,San Diego
306,2018,92127,45,30.7,0-17,San Diego
307,2018,92128,27,28.4,0-17,San Diego
308,2018,92129,23,17.0,0-17,San Diego
309,2018,92130,18,10.9,0-17,San Diego
310,2018,92131,18,18.5,0-17,San Diego
311,2018,92139,53,59.6,0-17,San Diego
312,2018,92154,140,67.6,0-17,San Diego
313,2018,92173,62,73.5,0-17,San Diego
314,2018,92201,87,46.3,0-17,Riverside
315,2018,92203,25,31.7,0-17,Riverside
316,2018,92220,60,84.7,0-17,Riverside
317,2018,92223,57,39.0,0-17,Riverside
318,2018,92225,48,98.2,0-17,Riverside
321,2018,92234,44,34.6,0-17,Riverside
322,2018,92236,81,51.3,0-17,Riverside
323,2018,92240,75,70.7,0-17,Riverside
328,2018,92253,21,28.4,0-17,Riverside
329,2018,92254,14,27.6,0-17,Riverside
330,2018,92262,21,47.1,0-17,Riverside
331,2018,92274,27,35.7,0-17,Riverside
332,2018,92277,32,53.2,0-17,San Bernardino
333,2018,92284,40,70.8,0-17,San Bernardino
334,2018,92301,112,94.3,0-17,San Bernardino
335,2018,92307,124,130.2,0-17,San Bernardino
336,2018,92308,79,77.7,0-17,San Bernardino
337,2018,92311,116,127.1,0-17,San Bernardino
338,2018,92313,19,70.8,0-17,San Bernardino
339,2018,92316,72,78.0,0-17,San Bernardino
340,2018,92324,129,74.1,0-17,San Bernardino
341,2018,92325,15,88.9,0-17,San Bernardino
342,2018,92335,188,58.6,0-17,San Bernardino
343,2018,92336,116,41.2,0-17,San Bernardino
344,2018,92337,61,55.3,0-17,San Bernardino
345,2018,92344,36,55.6,0-17,San Bernardino
346,2018,92345,136,57.5,0-17,San Bernardino
347,2018,92346,95,65.6,0-17,San Bernardino
348,2018,92354,20,41.5,0-17,San Bernardino
349,2018,92371,16,39.6,0-17,San Bernardino
350,2018,92373,27,41.3,0-17,San Bernardino
351,2018,92374,46,46.0,0-17,San Bernardino
352,2018,92376,175,68.2,0-17,San Bernardino
353,2018,92377,35,66.9,0-17,San Bernardino
354,2018,92392,174,103.1,0-17,San Bernardino
355,2018,92394,101,86.8,0-17,San Bernardino
356,2018,92395,126,96.9,0-17,San Bernardino
357,2018,92399,45,35.3,0-17,San Bernardino
358,2018,92404,200,103.1,0-17,San Bernardino
359,2018,92405,127,137.7,0-17,San Bernardino
360,2018,92407,131,75.3,0-17,San Bernardino
361,2018,92408,31,68.0,0-17,San Bernardino
362,2018,92410,183,105.0,0-17,San Bernardino
363,2018,92411,99,110.5,0-17,San Bernardino
364,2018,92501,39,73.1,0-17,Riverside
365,2018,92503,164,63.5,0-17,Riverside
366,2018,92504,94,69.2,0-17,Riverside
367,2018,92505,96,71.9,0-17,Riverside
368,2018,92506,49,54.6,0-17,Riverside
369,2018,92507,77,60.2,0-17,Riverside
370,2018,92508,36,39.2,0-17,Riverside
371,2018,92509,102,44.1,0-17,Riverside
372,2018,92530,113,70.2,0-17,Riverside
373,2018,92532,30,40.9,0-17,Riverside
374,2018,92543,82,94.5,0-17,Riverside
375,2018,92544,69,59.4,0-17,Riverside
376,2018,92545,77,78.3,0-17,Riverside
377,2018,92551,77,76.1,0-17,Riverside
378,2018,92553,162,67.7,0-17,Riverside
379,2018,92555,80,69.4,0-17,Riverside
380,2018,92557,80,61.8,0-17,Riverside
381,2018,92562,90,57.2,0-17,Riverside
382,2018,92563,82,40.5,0-17,Riverside
383,2018,92567,14,49.9,0-17,Riverside
384,2018,92570,90,50.6,0-17,Riverside
385,2018,92571,107,55.9,0-17,Riverside
386,2018,92582,35,62.2,0-17,Riverside
387,2018,92583,117,131.6,0-17,Riverside
388,2018,92584,76,57.6,0-17,Riverside
389,2018,92585,25,40.5,0-17,Riverside
390,2018,92586,17,67.8,0-17,Riverside
391,2018,92587,14,33.1,0-17,Riverside
392,2018,92591,51,43.3,0-17,Riverside
393,2018,92592,89,41.2,0-17,Riverside
394,2018,92595,49,57.6,0-17,Riverside
395,2018,92596,40,42.1,0-17,Riverside
396,2018,92602,15,20.7,0-17,Orange
397,2018,92604,21,42.4,0-17,Orange
398,2018,92606,20,37.7,0-17,Orange
399,2018,92614,14,28.0,0-17,Orange
400,2018,92618,21,27.1,0-17,Orange
401,2018,92620,35,27.2,0-17,Orange
402,2018,92626,37,38.8,0-17,Orange
403,2018,92627,72,48.8,0-17,Orange
404,2018,92629,12,28.2,0-17,Orange
405,2018,92630,39,27.1,0-17,Orange
406,2018,92646,24,23.5,0-17,Orange
407,2018,92647,59,44.6,0-17,Orange
408,2018,92648,25,31.9,0-17,Orange
409,2018,92649,18,33.6,0-17,Orange
410,2018,92653,14,23.3,0-17,Orange
411,2018,92655,12,67.9,0-17,Orange
412,2018,92656,26,19.9,0-17,Orange
413,2018,92660,24,38.4,0-17,Orange
414,2018,92672,18,23.1,0-17,Orange
415,2018,92675,20,23.1,0-17,Orange
416,2018,92677,33,25.7,0-17,Orange
417,2018,92679,16,23.9,0-17,Orange
418,2018,92683,105,51.9,0-17,Orange
419,2018,92688,18,14.5,0-17,Orange
420,2018,92691,27,30.1,0-17,Orange
421,2018,92692,31,34.1,0-17,Orange
422,2018,92701,96,51.1,0-17,Orange
423,2018,92703,126,61.1,0-17,Orange
424,2018,92704,138,54.8,0-17,Orange
425,2018,92705,54,54.8,0-17,Orange
426,2018,92706,60,56.0,0-17,Orange
427,2018,92707,93,51.0,0-17,Orange
428,2018,92708,39,38.8,0-17,Orange
429,2018,92780,88,59.7,0-17,Orange
430,2018,92782,17,22.3,0-17,Orange
431,2018,92801,107,57.6,0-17,Orange
432,2018,92802,78,62.8,0-17,Orange
433,2018,92804,128,57.1,0-17,Orange
434,2018,92805,170,76.2,0-17,Orange
435,2018,92806,51,52.4,0-17,Orange
436,2018,92807,20,27.4,0-17,Orange
437,2018,92821,13,16.5,0-17,Orange
438,2018,92831,48,74.5,0-17,Orange
439,2018,92832,38,60.2,0-17,Orange
440,2018,92833,67,52.7,0-17,Orange
441,2018,92835,15,31.4,0-17,Orange
442,2018,92840,95,69.1,0-17,Orange
443,2018,92841,34,45.3,0-17,Orange
444,2018,92843,68,54.3,0-17,Orange
445,2018,92844,21,38.0,0-17,Orange
446,2018,92865,19,42.6,0-17,Orange
447,2018,92866,13,41.3,0-17,Orange
448,2018,92867,37,34.8,0-17,Orange
449,2018,92868,46,87.0,0-17,Orange
450,2018,92869,33,39.0,0-17,Orange
451,2018,92870,44,36.2,0-17,Orange
452,2018,92879,75,59.1,0-17,Riverside
453,2018,92880,75,30.0,0-17,Riverside
454,2018,92881,18,22.2,0-17,Riverside
455,2018,92882,94,48.1,0-17,Riverside
456,2018,92883,23,25.1,0-17,Riverside
457,2018,92886,32,30.3,0-17,Orange
458,2018,92887,16,41.8,0-17,Orange
459,2018,93001,43,60.2,0-17,Ventura
460,2018,93003,49,48.3,0-17,Ventura
461,2018,93004,26,39.1,0-17,Ventura
462,2018,93010,38,42.3,0-17,Ventura
463,2018,93012,18,22.9,0-17,Ventura
465,2018,93015,26,49.5,0-17,Ventura
466,2018,93021,36,37.5,0-17,Ventura
467,2018,93030,127,71.6,0-17,Ventura
468,2018,93033,138,51.9,0-17,Ventura
469,2018,93035,25,40.9,0-17,Ventura
470,2018,93036,82,58.6,0-17,Ventura
471,2018,93041,39,64.4,0-17,Ventura
472,2018,93060,48,47.7,0-17,Ventura
473,2018,93063,63,50.9,0-17,Ventura
474,2018,93065,74,44.2,0-17,Ventura
529,2018,93534,150,132.1,0-17,Los Angeles
530,2018,93535,389,168.6,0-17,Los Angeles
531,2018,93536,125,74.9,0-17,Los Angeles
532,2018,93543,20,56.4,0-17,Los Angeles
534,2018,93550,347,144.7,0-17,Los Angeles
535,2018,93551,84,65.6,0-17,Los Angeles
536,2018,93552,104,87.7,0-17,Los Angeles
540,2018,93591,29,123.2,0-17,Los Angeles
912,2018,90001,215,54.4,18+,Los Angeles
913,2018,90002,232,65.7,18+,Los Angeles
914,2018,90003,393,81.5,18+,Los Angeles
915,2018,90004,162,30.4,18+,Los Angeles
916,2018,90005,54,14.5,18+,Los Angeles
917,2018,90006,130,28.1,18+,Los Angeles
918,2018,90007,94,33.2,18+,Los Angeles
919,2018,90008,209,85.5,18+,Los Angeles
920,2018,90011,290,41.1,18+,Los Angeles
921,2018,90012,73,21.6,18+,Los Angeles
922,2018,90013,106,70.0,18+,Los Angeles
923,2018,90014,30,34.6,18+,Los Angeles
924,2018,90015,52,24.0,18+,Los Angeles
925,2018,90016,226,59.4,18+,Los Angeles
926,2018,90017,67,30.7,18+,Los Angeles
927,2018,90018,232,58.8,18+,Los Angeles
928,2018,90019,247,47.5,18+,Los Angeles
929,2018,90020,92,27.4,18+,Los Angeles
930,2018,90021,16,47.4,18+,Los Angeles
931,2018,90022,188,39.0,18+,Los Angeles
932,2018,90023,159,46.1,18+,Los Angeles
933,2018,90024,47,14.3,18+,Los Angeles
934,2018,90025,55,15.0,18+,Los Angeles
935,2018,90026,151,25.2,18+,Los Angeles
936,2018,90027,131,33.2,18+,Los Angeles
937,2018,90028,114,39.5,18+,Los Angeles
938,2018,90029,123,39.6,18+,Los Angeles
939,2018,90031,85,26.5,18+,Los Angeles
940,2018,90032,147,41.6,18+,Los Angeles
941,2018,90033,201,56.4,18+,Los Angeles
942,2018,90034,113,24.5,18+,Los Angeles
943,2018,90035,57,23.4,18+,Los Angeles
944,2018,90036,53,17.8,18+,Los Angeles
945,2018,90037,307,68.5,18+,Los Angeles
946,2018,90038,72,27.0,18+,Los Angeles
947,2018,90039,58,23.8,18+,Los Angeles
948,2018,90040,34,38.3,18+,Los Angeles
949,2018,90041,73,29.5,18+,Los Angeles
950,2018,90042,149,30.1,18+,Los Angeles
951,2018,90043,270,76.2,18+,Los Angeles
952,2018,90044,534,79.4,18+,Los Angeles
953,2018,90045,40,11.1,18+,Los Angeles
954,2018,90046,83,18.6,18+,Los Angeles
955,2018,90047,321,84.8,18+,Los Angeles
956,2018,90048,39,21.4,18+,Los Angeles
957,2018,90049,27,9.0,18+,Los Angeles
958,2018,90056,31,63.0,18+,Los Angeles
959,2018,90057,166,48.8,18+,Los Angeles
960,2018,90058,28,125.3,18+,Los Angeles
961,2018,90059,289,95.1,18+,Los Angeles
962,2018,90061,220,105.7,18+,Los Angeles
963,2018,90062,123,48.6,18+,Los Angeles
964,2018,90063,155,38.7,18+,Los Angeles
965,2018,90064,49,23.8,18+,Los Angeles
966,2018,90065,134,37.1,18+,Los Angeles
967,2018,90066,71,15.7,18+,Los Angeles
968,2018,90068,29,14.0,18+,Los Angeles
969,2018,90069,24,18.5,18+,Los Angeles
970,2018,90201,234,32.9,18+,Los Angeles
971,2018,90210,16,8.4,18+,Los Angeles
972,2018,90211,19,23.6,18+,Los Angeles
973,2018,90212,40,40.5,18+,Los Angeles
974,2018,90220,269,75.1,18+,Los Angeles
975,2018,90221,230,58.5,18+,Los Angeles
976,2018,90222,199,81.8,18+,Los Angeles
977,2018,90230,59,22.9,18+,Los Angeles
978,2018,90232,46,33.1,18+,Los Angeles
979,2018,90240,82,40.6,18+,Los Angeles
980,2018,90241,104,31.2,18+,Los Angeles
981,2018,90242,102,31.4,18+,Los Angeles
982,2018,90245,14,10.1,18+,Los Angeles
983,2018,90247,243,69.0,18+,Los Angeles
984,2018,90248,36,42.3,18+,Los Angeles
985,2018,90249,102,48.5,18+,Los Angeles
986,2018,90250,307,41.7,18+,Los Angeles
987,2018,90255,245,48.8,18+,Los Angeles
988,2018,90260,94,35.1,18+,Los Angeles
989,2018,90262,233,47.4,18+,Los Angeles
990,2018,90266,20,7.5,18+,Los Angeles
991,2018,90270,55,27.0,18+,Los Angeles
992,2018,90274,26,13.1,18+,Los Angeles
993,2018,90275,40,12.7,18+,Los Angeles
994,2018,90277,42,14.7,18+,Los Angeles
995,2018,90278,61,18.1,18+,Los Angeles
996,2018,90280,195,29.2,18+,Los Angeles
997,2018,90291,69,29.9,18+,Los Angeles
998,2018,90292,33,14.1,18+,Los Angeles
999,2018,90301,159,54.6,18+,Los Angeles
1000,2018,90302,141,59.4,18+,Los Angeles
1001,2018,90303,116,63.3,18+,Los Angeles
1002,2018,90304,71,32.8,18+,Los Angeles
1003,2018,90305,79,77.2,18+,Los Angeles
1004,2018,90401,36,51.6,18+,Los Angeles
1005,2018,90402,15,15.3,18+,Los Angeles
1006,2018,90403,52,23.6,18+,Los Angeles
1007,2018,90404,115,61.8,18+,Los Angeles
1008,2018,90405,59,27.6,18+,Los Angeles
1009,2018,90501,105,29.8,18+,Los Angeles
1010,2018,90502,33,20.7,18+,Los Angeles
1011,2018,90503,58,16.2,18+,Los Angeles
1012,2018,90504,54,21.1,18+,Los Angeles
